时间,交易所委托号,委托类型,委托代码,委托价格,委托数量
93002000,682427,0,B,171600,1000
93002000,682428,0,B,171600,400
93002000,682432,0,B,171600,600
93002000,682436,0,B,171600,100
93002000,682437,0,B,171600,200
93002000,682438,0,B,171600,100
93002000,682439,0,B,171600,500
93002000,682440,0,B,171600,100
93002000,682441,0,B,171600,200
93002000,682442,0,B,171600,800
93002000,682443,0,B,171600,100
93002000,682444,0,B,171600,800
93002000,682561,0,B,171800,500
93002000,682592,0,B,171800,900
93002000,682608,0,B,171800,1000
93002010,683352,0,B,171800,2200
93002020,683605,0,S,171300,800
93002030,685131,0,S,170500,400
93002040,685737,0,B,171500,300
93002040,685738,0,B,171500,100
93002170,693684,0,S,170200,100
93002180,694143,0,B,171600,6000
93002180,694238,0,B,171600,200
93002190,695219,0,B,171600,300
93002190,695403,0,B,171800,6400
93002190,695419,0,B,171600,1900
93002230,696932,0,B,171600,100
93002230,697116,0,B,167700,1000
93002250,697994,0,S,170200,1000
93002280,699182,0,B,171800,300
93002280,699340,0,B,171800,100
93002290,699863,0,B,171800,100
93002290,699946,0,B,171800,100
93002290,700039,0,S,173900,5900
93002300,700140,0,B,171800,600
93002300,700142,0,B,171800,800
93002310,700876,0,B,171600,1300
93002320,701068,0,S,173500,1000
93002420,706441,0,B,172000,200
93002470,708979,0,S,178900,900
93002510,710069,0,B,171600,100
93002510,710070,0,B,171700,1200
93002510,710073,0,B,171600,200
93002520,710524,0,S,184400,5000
93002530,710690,0,B,171900,300
93002590,713701,0,B,171800,400
93002690,717535,0,B,171800,100
93002700,717774,0,B,171300,200
93002730,719024,0,B,171800,200
93002730,719026,0,B,171800,200
93002730,719033,0,B,171800,100
93002730,719034,0,B,171800,600
93002740,719054,0,B,171800,100
93002740,719272,0,B,171800,700
93002740,719277,0,B,171800,900
93002810,721242,0,B,171600,100
93002810,721455,0,B,167000,1200
93002830,722013,0,S,171600,100
93002870,723495,0,B,171800,200
93002870,723496,0,B,171800,100
93002890,723835,0,B,168300,400
93002950,725893,0,B,171800,100
93003000,727927,0,S,171600,2100
93003020,728471,0,S,170500,100
93003040,729368,0,B,168300,400
93003050,729662,0,S,170700,100
93003050,729981,0,S,171500,1600
93003110,732191,0,B,171500,4000
93003160,734365,0,S,172000,1300
93003280,741832,0,S,175600,200
93003300,742677,0,S,174400,1800
93003400,748834,0,S,170700,400
93003400,749108,0,S,172700,100
93003420,749981,0,B,171800,800
93003520,754296,0,B,169200,1000
93003590,759615,0,B,171800,100
93003650,761218,0,B,172000,500
93003650,761332,0,B,171800,1400
93003800,767756,0,B,171800,200
93003860,769578,0,B,172100,100
93003900,770842,0,B,171800,200
93003900,770843,0,B,171800,300
93003940,771816,0,B,171800,300
93003950,772124,0,B,171800,100
93003980,772941,0,S,174600,1000
93004010,773865,0,B,171800,200
93004030,774538,0,S,171800,100
93004050,775463,0,S,172900,1900
93004160,779449,0,B,171800,100
93004210,781725,0,B,171800,100
93004210,781806,0,B,171300,300
93004220,782080,0,S,176900,3000
93004250,784130,0,B,170800,100
93004270,785350,0,S,170200,100
93004290,786519,0,B,171600,100
93004290,786523,0,B,171600,1000
93004290,786566,0,B,171600,400
93004310,787084,0,B,172100,100
93004520,794382,0,B,172000,200
93004520,794428,0,B,172300,1200
93004520,794449,0,B,172000,100
93004520,794456,0,B,172000,100
93004520,794463,0,B,172000,200
93004520,794486,0,B,172000,200
93004520,794489,0,B,172000,100
93004520,794493,0,B,172000,400
93004520,794497,0,B,172000,100
93004520,794499,0,B,172000,100
93004520,794512,0,B,172000,400
93004520,794518,0,B,172000,100
93004520,794521,0,B,172000,100
93004520,794527,0,B,172000,100
93004520,794529,0,B,172000,100
93004520,794542,0,B,172000,100
93004520,794544,0,B,172000,200
93004520,794548,0,B,172000,100
93004520,794551,0,B,172000,100
93004520,794556,0,B,172000,5100
93004520,794564,0,B,172000,100
93004520,794585,0,B,172000,100
93004520,794591,0,B,172000,100
93004520,794595,0,B,172000,100
93004520,794597,0,B,172000,100
93004520,794603,0,B,172000,100
93004520,794617,0,B,172000,100
93004520,794624,0,B,172000,100
93004520,794638,0,B,172000,100
93004520,794647,0,B,172000,100
93004530,794694,0,B,172000,100
93004530,794716,0,B,172300,2600
93004530,794746,0,B,172300,2300
93004530,794749,0,B,172000,100
93004530,794756,0,B,172000,100
93004530,794769,0,B,172000,100
93004530,794859,0,B,172000,100
93004540,795286,0,B,171800,1500
93004550,795843,0,B,172000,100
93004560,796125,0,B,172000,1100
93004570,796317,0,B,172000,100
93004600,797280,0,B,171800,400
93004600,797293,0,B,171800,1000
93004620,797446,0,B,171800,700
93004620,797522,0,B,171800,600
93004650,798083,0,B,171800,100
93004670,798531,0,S,170500,200
93004770,800653,0,B,171800,400
93004780,800835,0,B,172000,100
93004780,800837,0,B,172000,200
93004790,800945,0,B,171800,300
93004810,801430,0,B,171800,100
93004820,801495,0,B,172000,100
93004820,801497,0,B,172000,400
93004830,801674,0,B,171800,200
93004840,801780,0,S,171800,100
93004850,802057,0,B,171800,100
93004900,803247,0,B,171800,300
93004910,803458,0,B,172000,200
93004910,803461,0,B,172000,100
93004910,803472,0,S,171800,4200
93004920,803713,0,B,171800,300
93004930,803872,0,B,172000,100
93004930,803874,0,B,172000,200
93004930,803876,0,B,172000,100
93004990,804840,0,S,170700,200
93005000,805147,0,B,172000,400
93005000,805150,0,B,172000,400
93005000,805151,0,B,172000,1000
93005000,805153,0,B,172000,600
93005000,805166,0,B,172000,200
93005000,805169,0,B,172000,100
93005000,805170,0,B,172000,500
93005000,805171,0,B,172000,100
93005000,805172,0,B,172000,100
93005000,805239,0,B,172000,800
93005000,805244,0,B,172000,800
93005000,805246,0,B,172000,100
93005030,805867,0,S,207400,500
93005130,808174,0,B,171600,200
93005180,808836,0,B,172000,200
93005250,810092,0,B,172000,2500
93005260,810168,0,B,172000,1200
93005270,810214,0,B,172000,1700
93005300,810821,0,B,170800,2900
93005310,810987,0,B,171800,100
93005320,811071,0,B,172000,200
93005320,811073,0,B,172000,100
93005340,811370,0,B,172000,400
93005340,811371,0,B,172000,300
93005340,811412,0,B,172000,1800
93005360,811855,0,B,171900,100
93005380,811974,0,B,171800,300
93005560,814358,0,B,172000,100
93005570,814527,0,B,171800,200
93005570,814529,0,B,171800,200
93005650,815458,0,B,171800,100
93005750,816692,0,B,172000,1500
93005760,816770,0,B,171800,100
93005770,816830,0,S,171400,500
93005970,818633,0,S,171500,100
93006070,819646,0,B,172000,100
93006090,819985,0,B,170500,200
93006260,823657,0,B,171800,100
93006590,832460,0,B,172000,100
93006600,832887,0,S,171600,300
93006610,832921,0,B,172000,400
93006610,833156,0,B,172000,1800
93006610,833180,0,S,171600,100
93006610,833209,0,B,172000,300
93006770,838183,0,S,172000,100
93006770,838194,0,S,172000,100
93006770,838201,0,S,172000,100
93006870,840792,0,B,170100,3300
93006870,840799,0,B,170100,3300
93006870,840800,0,B,170100,3300
93006870,840801,0,B,170000,17600
93006870,840803,0,B,170000,3300
93006870,840805,0,B,170000,3300
93006870,840808,0,B,170000,3300
93006910,841198,0,B,170000,300
93007090,844050,0,B,172000,100
93007370,850976,0,B,171800,100
93007370,851102,0,B,171700,4600
93007440,853992,0,B,172000,200
93007580,856906,0,B,171700,10600
93007590,857044,0,B,172500,6300
93007590,857047,0,B,172100,2900
93007590,857076,0,B,172100,300
93007590,857110,0,B,172100,500
93007590,857158,0,B,172400,100
93007590,857164,0,B,172400,100
93007590,857167,0,B,172400,100
93007590,857174,0,B,172000,100
93007590,857178,0,B,172400,600
93007600,857513,0,B,172400,1100
93007750,860834,0,B,172400,600
93007870,862216,0,S,172300,900
93007990,863505,0,B,172400,400
93007990,863522,0,B,172400,200
93007990,863523,0,B,172400,100
93007990,863526,0,B,172400,100
93007990,863527,0,B,172400,100
93007990,863530,0,B,172400,100
93008050,864463,0,B,172400,600
93008180,865869,0,B,171900,5700
93008190,865957,0,S,172300,100
93008210,866112,0,S,172300,300
93008250,866425,0,S,172300,500
93008270,866656,0,B,172400,100
93008300,867057,0,B,172500,700
93008340,867585,0,B,172000,100
93008350,867699,0,B,172400,200
93008360,867759,0,S,172300,100
93008450,868719,0,S,172300,200
93008640,870626,0,B,172400,600
93008650,870643,0,B,172400,800
93008650,870668,0,B,172400,4400
93008650,870688,0,B,172400,2000
93008650,870696,0,B,172400,1700
93008650,870722,0,B,172400,800
93008840,872232,0,B,172400,100
93008850,872257,0,B,172400,600
93008870,872476,0,B,172000,100
93008920,872827,0,B,172000,900
93008940,872968,0,S,172000,2000
93009340,879124,0,S,171500,1000
93009350,879506,0,S,171800,100
93009640,885814,0,B,172400,100
93010530,901887,0,B,172600,600
93010530,901890,0,B,172600,900
93010530,901896,0,B,172500,3300
93010530,901899,0,B,172600,800
93010530,901955,0,B,172500,900
93010530,901982,0,B,172700,300
93010530,901994,0,B,172700,100
93010530,902077,0,B,172700,100
93010560,902741,0,B,172500,5700
93010680,904693,0,B,172700,1400
93010730,905178,0,B,172400,100
93010760,905405,0,B,172500,100
